,name,url,views,comments
1114,Как вернуть доступ к вебинарам,https://www.gb.ru/posts/how_to_vpn,11445,11
1115,Продуктовая аналитика мобильных приложений,https://www.gb.ru/posts/mobile_app_analytics,20777,0
1116,ММСО: образование вышло за стены вузов,https://www.gb.ru/posts/msso_2018_new_education,4893,2
1117,Что делает мобильную версию сайта привлекательной?,https://www.gb.ru/posts/what_makes_a_good_mobile_site,8360,8
1118,"Что читать, чтобы открыть IT-стартап",https://www.gb.ru/posts/it_business_resources,21677,3
1119,Три свежие книги для начинающих разработчиков Swift,https://www.gb.ru/posts/3_books_swift_newbies,45552,2
1120,5 причин для гика прийти на ММСО,https://www.gb.ru/posts/mmso_2018,4636,2
1121,Как студенты GU создали сервис банковских услуг,https://www.gb.ru/posts/gu_marketbank,42,0
1122,Как подготовиться к IT-собеседованию,https://www.gb.ru/posts/how_to_job_interview,12578,4
1123,"Как Королев, Армстронг и Маск принесли космос в культуру",https://www.gb.ru/posts/space_story,21740,36
1124,Как избежать тупиковых блокировок в Java,https://www.gb.ru/posts/java_deadlocks,21589,3
1125,Как фрилансеру повысить цену на услуги,https://www.gb.ru/posts/how_to_better_freelance,10153,15
1126,Перспективы AR: зачем дополнять реальность,https://www.gb.ru/posts/future_of_ar,12713,1
1127,Что такое модульное программирование и кому оно нужно,https://www.gb.ru/posts/module_programming,28961,6
1128,Опрос GeekBrains: кто и зачем учится на онлайн-курсах,https://www.gb.ru/posts/gb_courses_survey,11500,8
1129,«Сканер безопасности»: студенты GU о своем проекте,https://www.gb.ru/posts/web_security_story,65,0
1130,Как повысить продуктивность. Личный опыт,https://www.gb.ru/posts/productive_work,27598,56
1131,Улучшить интерфейс за счёт мелочей: 7 хитростей,https://www.gb.ru/posts/7_tips_for_improving_ui,11072,11
1132,11 шагов к созданию языка программирования,https://www.gb.ru/posts/how_to_create_lang,13336,7
1133,"Кодеры любят Rust и ходят на хакатоны, потому что это весело",https://www.gb.ru/posts/so_survey_18,6254,4
1134,"Золотой сенсор на зуб, мошенничество на сбое в Telegram",https://www.gb.ru/posts/it_news_digest_2_apr,4500,5
1135,Как правильно составить резюме начинающему программисту,https://www.gb.ru/posts/resume_programmers_howto,81277,29
1136,Мобильные приложения: как оценить основную идею,https://www.gb.ru/posts/mobile_mvp,32195,1
1137,Оформление кода PHP: стандарты и правила,https://www.gb.ru/posts/php_code_conventions,48253,2
1138,"У меня не было 5 месяцев, пришлось выучиться за 3",https://www.gb.ru/posts/learn_faster,37,0
1139,Настройка среды разработки: инструкция для новичков,https://www.gb.ru/posts/how_to_gulp,15918,12
1140,"Робособака, роборыба и компьютер меньше кристаллика соли",https://www.gb.ru/posts/it_news_digest_26_mar,4624,4
1141,"11 книжных бестселлеров, где главные герои — программисты",https://www.gb.ru/posts/11_books_about_programmers,54169,37
1142,Хочу всё знать. Язык Elm,https://www.gb.ru/posts/elm_lang,10189,1
1143,"Возможности VR, ставшие реальными уже сейчас",https://www.gb.ru/posts/future_vr,14945,2
1144,Front-end шпаргалка: единицы измерения,https://www.gb.ru/posts/front_end_units,16308,22
1145,Ищем работу через Телеграм. Часть 2,https://www.gb.ru/posts/job_via_telegram_part2,18757,15
1146,История языков программирования. 1980-е,https://www.gb.ru/posts/language_history_part4,12840,5
1147,"Роботы-аватары, вечная жизнь и вирус, который нельзя удалить",https://www.gb.ru/posts/it_news_digest_19_mar,5167,0
1148,Java и числа. От простого к сложному,https://www.gb.ru/posts/numbers_simple_to_complex,24812,6
1149,10 универсальных правил для дизайна мобильных приложений,https://www.gb.ru/posts/mobile_design_principles,38565,5
1150,Где учились IT-гении,https://www.gb.ru/posts/it_genius_studies,36534,29
1151,В России построят свой коллайдер,https://www.gb.ru/posts/digest_12_03,3845,2
1152,Где программисту познакомиться с опытом топовых компаний,https://www.gb.ru/posts/cup_it,6679,4
1153,ТОП-7 девушек-айтишниц из кино и сериалов,https://www.gb.ru/posts/7_cinema_womans,19216,42
1154,Азбука кода. Новый формат бесплатного обучения,https://www.gb.ru/posts/code_abc,16640,27
1155,Инженер научил ИИ узнавать кота,https://www.gb.ru/posts/it_news_digets_5_march,3970,2
1156,Рейтинг зарплат в российском IT-сегменте,https://www.gb.ru/posts/salaries_2018,20820,5
1157,Как я стал Front-end разработчиком в Mail.Ru,https://www.gb.ru/posts/mailru_frontend_developer,67,0
1158,Внутри процесса: многопоточность и пинг-понг mutex'ом,https://www.gb.ru/posts/multithread_pingpong,29413,8
1159,История языков программирования: 1970-е,https://www.gb.ru/posts/language_history_part3,14041,7
1160,Россию назвали убежищем продвинутых хакеров,https://www.gb.ru/posts/it_news_digest_26_feb,5277,0
1161,3 шага к идеальному ТЗ,https://www.gb.ru/posts/project_requirements,41467,8
1162,Как собрать и организовать удалённую команду,https://www.gb.ru/posts/remote_steps,9544,4
1163,​​​​​​​Если бы языки программирования были детьми,https://www.gb.ru/posts/lang_children,15810,24
1164,Каменный век кибербезопасности - это сейчас,https://www.gb.ru/posts/becomming_a_hacker,36851,81
1165,"Баг в iOS, робот на Олимпиаде, мошенники на сайтах знакомств",https://www.gb.ru/posts/it_news_digest_19_feb,5371,1
1166,10 лучших шрифтов 2017 года,https://www.gb.ru/posts/best_fonts_2017,37989,30
1167,"Love is..., или Итоги конкурса на День святого Валентина",https://www.gb.ru/posts/love_is_competition,10437,0
1168,"Об учебе на курсах, стажировке и соблюдении режима",https://www.gb.ru/posts/gb_impressions,49,0
1169,Компилируем и запускаем Java-файлы из Notepad++,https://www.gb.ru/posts/npp_java,46734,67
1170,11 плюшек для Java-разработчика,https://www.gb.ru/posts/top11_java_frameworks,17158,0
1171,Методологии разработки: Waterfall,https://www.gb.ru/posts/waterfall,36272,5
1172,"Новый ЯП, уголовное дело за майнинг, запрет бикини в Twitch",https://www.gb.ru/posts/digest_12_feb,7125,8
1173,Новая профессия «Специалист по информационной безопасности»,https://www.gb.ru/posts/new_profession_it_security,22017,8
1174,Цель – работа в IT. Done!,https://www.gb.ru/posts/it_job_found,102,0
1175,Обучаем профессии fullstack JavaScript-разработчик,https://www.gb.ru/posts/fullstack_js,12493,12
1176,"Разработчики любят Python, а учат JavaScript",https://www.gb.ru/posts/python_vs_js,26226,8
1177,9 полезных сокращений в синтаксисе JavaScript,https://www.gb.ru/posts/js_shorthands,8361,17
1178,"Инвестиции в киберспорт, иск  близнецов к Face ID, дефицит  ",https://www.gb.ru/posts/5_feb_it_news_digest,5838,10
1179,Почему PHP всё ещё крут в 2018,https://www.gb.ru/posts/php_2018,22861,22
1180,10 главных ошибок сайтостроителей,https://www.gb.ru/posts/10_mistakes_webmasters_make,8082,27
1181,"9 технологических предрассудков, от которых пора избавиться",https://www.gb.ru/posts/tech_myths,5993,11
1182,10 приложений для тренировки мозга,https://www.gb.ru/posts/brain-training_apps,279407,54
1183,Работа бота: как симулировать нажатия клавиш в Python,https://www.gb.ru/posts/python_key_simulation,60043,11
1184,Вредные советы для программиста: английский не нужен?,https://www.gb.ru/posts/english_for_a_mobile_developer,8554,13
1185,"Опровергнута связь игр с агрессией, открыт магазин без касс",https://www.gb.ru/posts/it-news_digest_jan_2018,4644,14
1186,Долгая дорога в кодинг,https://www.gb.ru/posts/rocky_road_to_coding,51,0
1187,Подборка диких USB-подарков,https://www.gb.ru/posts/crazy_usb,8289,7
